WPM
58
67
58
56
68
67
54
66
62
62
68
61
61
63
63
66
66
61
62
56
61
66
64
63
63
56
61
64
57
55
59
62
67
56
61
58
62
54
56
65
64
63
65
65
73
62
61
62
63
55
